AL,Alabama,9,0.5,99.5,4780000,100
AK,Alaska,3,35.4,64.5,710000,99.9
AZ,Arizona,11,56.7,43.3,6392000,100
AR,Arkansas,6,2.6,97.4,2916000,100
CA,California,55,99.9,0.1,37254000,100
CO,Colorado,9,89.3,10.7,5029000,100
CT,Connecticut,7,98.5,1.5,3574000,100
DE,Delaware,3,95.2,4.8,898000,100
DC,Dist. of Col.,3,99.9,0.1,602000,100
FL,Florida,29,76.5,23.5,18801000,100
GA,Georgia,16,26.6,73.4,9688000,100
HI,Hawaii,4,99.7,0.3,1360000,100
ID,Idaho,4,1.9,98,1568000,99.9
IL,Illinois,20,99.2,0.8,12831000,100
IN,Indiana,11,16,84,6484000,100
IA,Iowa,6,60.6,39.4,3046000,100
KS,Kansas,6,16.5,83.5,2853000,100
KY,Kentucky,8,3,97,4339000,100
LA,Louisiana,8,3.3,96.7,4533000,100
ME,Maine,4,89.7,10.3,1328000,100
MD,Maryland,10,99.9,0.1,5774000,100
MA,Massachusetts,11,99.8,0.2,6548000,100
MI,Michigan,16,91.8,8.2,9884000,100
MN,Minnesota,10,87.1,12.9,5304000,100
MS,Mississippi,6,4.4,95.6,2967000,100
MO,Missouri,10,24.6,75.4,5989000,100
MT,Montana,3,13.9,86,989000,99.9
NE,Nebraska,5,4.6,95.4,1826000,100
NV,Nevada,6,75,25,2701000,100
NH,New Hampshire,4,85.3,14.6,1316000,99.9
NJ,New Jersey,14,97.4,2.6,8792000,100
NM,New Mexico,5,94.4,5.3,2059000,99.7
NY,New York,29,99.8,0.2,19378000,100
NC,North Carolina,15,71.3,28.7,9535000,100
ND,North Dakota,3,8.4,91.5,673000,99.9
OH,Ohio,18,64.5,35.5,11537000,100
OK,Oklahoma,7,1,99,3751000,100
OR,Oregon,7,95.7,4.3,3831000,100
PA,Pennsylvania,20,89.9,10.1,12702000,100
RI,Rhode Island,4,97.5,2.5,1053000,100
SC,South Carolina,9,16.2,83.8,4625000,100
SD,South Dakota,3,16.8,83.1,814000,99.9
TN,Tennessee,11,4.3,95.7,6346000,100
TX,Texas,38,13,87,25146000,100
UT,Utah,6,8.7,85.7,2764000,94.4
VT,Vermont,3,98.6,1.4,626000,100
VA,Virginia,13,57,36,8001000,93
WA,Washington,12,94.2,5.8,6725000,100
WV,West Virginia,5,97.6,2.4,1853000,100
WI,Wisconsin,10,90.1,9.9,5687000,100
WY,Wyoming,3,2,97.9,564000,99.9
